Rk,Player,SOS,Age,G,GS,RushAtt,RushYds,Y/A,RushTD,Tgt,Rec,RecYds,Y/R,RecTD,Fmb,FL,TD,PPR
1,Cooper Kupp,1,28,17,17,4,18,4.5,0,191,145,1947,13.43,16,0,0,16,439.5
2,Davante Adams,22,29,16,16,0,0,0,0,169,123,1553,12.63,11,0,0,11,344.3
3,Deebo Samuel,5,25,16,15,59,365,6.19,8,121,77,1405,18.25,6,4,2,14,339
4,Justin Jefferson,20,22,17,17,6,14,2.33,0,167,108,1616,14.96,10,1,1,10,330.4
5,Ja'Marr Chase,3,21,17,17,7,21,3,0,128,81,1455,17.96,13,2,1,13,304.6
6,Tyreek Hill,5,27,17,16,9,96,10.67,0,159,111,1239,11.16,9,2,1,9,296.5
7,Stefon Diggs,12,28,17,17,0,0,0,0,164,103,1225,11.89,10,1,0,10,285.5
8,Diontae Johnson,12,25,16,14,5,53,10.6,0,169,107,1161,10.85,8,2,2,8,274.4
9,Mike Evans,4,28,16,16,1,10,10,0,114,74,1035,13.99,14,0,0,14,262.5
10,Hunter Renfrow,7,26,17,9,3,3,1,0,128,103,1038,10.08,9,5,1,9,259.1
11,Keenan Allen,10,29,16,16,0,0,0,0,157,106,1138,10.74,6,1,0,6,257.8
12,Mike Williams,10,27,16,14,0,0,0,0,129,76,1146,15.08,9,0,0,9,246.6
13,Jaylen Waddle,21,23,16,16,2,3,1.5,1,140,104,1015,9.76,6,2,1,7,245.8
14,D.K. Metcalf,11,24,17,17,1,6,6,0,129,75,967,12.89,12,1,0,12,244.3
15,Chris Godwin,4,25,14,14,4,21,5.25,1,127,98,1103,11.26,5,2,2,6,242.4
16,Tyler Lockett,11,29,16,16,2,9,4.5,0,107,73,1175,16.1,8,0,0,8,241.4
17,Michael Pittman Jr.,26,24,17,17,5,44,8.8,0,129,88,1082,12.3,6,1,0,6,238.6
18,D.J. Moore,12,24,17,17,8,48,6,0,163,93,1157,12.44,4,1,1,4,237.5
19,CeeDee Lamb,31,22,16,13,9,76,8.44,0,120,79,1102,13.95,6,0,0,6,232.8
20,Brandin Cooks,19,28,16,16,2,21,10.5,0,134,90,1037,11.52,6,0,0,6,231.8
21,Amon-Ra St. Brown,28,22,17,9,7,61,8.71,1,119,90,912,10.13,5,0,0,6,227.3
22,Marquise Brown,23,24,16,16,1,5,5,0,146,91,1008,11.08,6,3,1,6,226.3
23,Darnell Mooney,24,24,17,14,6,32,5.33,1,140,81,1055,13.02,4,0,0,5,219.7
24,Tee Higgins,3,22,14,14,0,0,0,0,110,74,1091,14.74,6,1,1,6,219.1
25,Terry McLaurin,31,26,17,17,1,12,12,0,130,77,1053,13.68,5,0,0,5,213.5
26,Christian Kirk,2,25,17,11,1,11,11,0,103,77,982,12.75,5,0,0,5,207.6
27,Amari Cooper,31,27,15,14,0,0,0,0,104,68,865,12.72,8,1,0,8,202.5
28,Adam Thielen,20,31,13,13,1,2,2,0,95,67,726,10.84,10,1,0,10,199.8
29,Jakobi Meyers,16,25,17,16,1,9,9,0,126,83,866,10.43,2,1,1,2,186.3
30,DeVonta Smith,30,23,17,16,0,0,0,0,104,64,916,14.31,5,1,1,5,185.6
31,Tyler Boyd,3,27,16,10,2,22,11,0,94,67,828,12.36,5,1,0,5,183.8
32,A.J. Brown,24,24,13,13,2,10,5,0,105,63,869,13.79,5,0,0,5,180.9
33,Kendrick Bourne,16,26,17,5,12,125,10.42,0,70,55,800,14.55,5,1,1,5,180.5
34,Marvin Jones,26,31,17,16,0,0,0,0,120,73,832,11.4,4,0,0,4,180.2
35,Brandon Aiyuk,5,23,17,16,5,17,3.4,0,84,56,826,14.75,5,2,1,5,170.3
36,Van Jefferson,1,25,17,17,2,20,10,0,89,50,802,16.04,6,0,0,6,168.2
37,Chase Claypool,12,23,15,13,14,96,6.86,0,105,59,860,14.58,2,0,0,2,166.6
38,Russell Gage,9,25,14,9,0,0,0,0,94,66,770,11.67,4,2,2,4,163
39,Cole Beasley,12,32,16,8,0,0,0,0,112,82,693,8.45,1,1,0,1,159.3
40,K.J. Osborn,20,24,17,9,1,10,10,0,82,50,655,13.1,7,0,0,7,158.5
41,A.J. Green,2,33,16,9,0,0,0,0,92,54,848,15.7,3,0,0,3,156.8
42,Tim Patrick,15,28,16,16,0,0,0,0,85,53,734,13.85,5,0,0,5,156.4
43,Marquez Callaway,7,23,17,11,0,0,0,0,84,46,698,15.17,6,0,0,6,151.8
44,Courtland Sutton,15,26,17,16,0,0,0,0,98,58,776,13.38,2,0,0,2,150.2
45,Cedrick Wilson Jr.,31,26,16,4,2,11,5.5,0,61,45,602,13.38,6,3,0,6,147.8
46,DeAndre Hopkins,2,29,10,10,0,0,0,0,64,42,572,13.62,8,0,0,8,147.2
47,Allen Lazard,22,26,15,13,3,32,10.67,0,60,40,513,12.83,8,0,0,8,142.5
48,Mecole Hardman,5,23,17,8,8,46,5.75,0,83,59,693,11.75,2,3,2,2,140.9
49,Robby Anderson,12,28,17,16,3,36,12,0,110,53,519,9.79,5,0,0,5,138.5
50,Elijah Moore,17,21,11,6,5,54,10.8,1,77,43,538,12.51,5,0,0,6,138.2
51,Robert Woods,1,29,9,9,8,46,5.75,1,69,45,556,12.36,4,0,0,5,137.2
52,Jarvis Landry,17,29,12,12,6,40,6.67,2,87,52,570,10.96,2,3,2,4,133
53,Kalif Raymond,28,27,16,14,4,28,7,0,71,48,576,12,4,0,0,4,132.4
54,Emmanuel Sanders,12,34,14,13,2,31,15.5,0,72,42,626,14.9,4,0,0,4,131.7
55,Odell Beckham Jr.,16,29,14,13,2,14,7,0,82,44,537,12.2,5,0,0,5,129.1
56,Laviska Shenault Jr.,26,23,16,10,11,41,3.73,0,100,63,619,9.83,0,1,1,0,127
57,Byron Pringle,5,28,17,5,0,0,0,0,60,42,568,13.52,5,2,1,5,126.8
58,Gabriel Davis,12,22,16,4,0,0,0,0,63,35,549,15.69,6,0,0,6,125.9
59,Braxton Berrios,17,26,16,1,7,40,5.71,2,65,46,431,9.37,2,1,1,5,121.1
60,Antonio Brown,4,33,7,3,1,6,6,0,62,42,545,12.98,4,0,0,4,121.1
61,Quez Watkins,30,23,17,12,1,3,3,0,62,43,647,15.05,1,0,0,1,116
62,Deonte Harris,7,24,13,1,5,41,8.2,0,59,36,570,15.83,3,2,1,3,113.1
63,Jamison Crowder,17,28,12,4,0,0,0,0,71,51,447,8.76,2,1,1,2,109.7
64,Donovan Peoples-Jones,17,22,14,9,0,0,0,0,58,34,597,17.56,3,2,1,3,109.7
65,Rondale Moore,2,21,14,7,18,76,4.22,0,64,54,435,8.06,1,3,1,1,109.1
66,Bryan Edwards,7,23,16,12,1,0,0,0,59,34,571,16.79,3,1,0,3,109.1
67,Nick Westbrook-Ikhine,24,24,16,7,0,0,0,0,57,38,476,12.53,4,1,1,4,107.6
68,Zay Jones,7,26,17,9,2,3,1.5,0,70,47,546,11.62,1,1,1,1,105.9
69,Corey Davis,17,26,9,9,0,0,0,0,59,34,492,14.47,4,2,1,4,105.2
70,Rashod Bateman,23,22,12,4,0,0,0,0,68,46,515,11.2,1,0,0,1,103.5
71,DeVante Parker,21,28,10,8,0,0,0,0,73,40,515,12.88,2,0,0,2,103.5
72,Nelson Agholor,16,28,15,13,3,11,3.67,0,64,37,473,12.78,3,0,0,3,103.4
73,Jalen Guyton,10,24,16,2,7,34,4.86,0,48,31,448,14.45,3,1,0,3,97.2
74,Zach Pascal,26,27,16,13,2,21,10.5,0,69,38,384,10.11,3,1,1,3,94.5
75,Randall Cobb,22,31,12,3,1,1,1,0,39,28,375,13.39,5,1,1,5,93.6
76,Josh Palmer,10,23,17,5,1,6,6,0,49,33,353,10.7,4,0,0,4,92.9
77,Michael Gallup,31,25,9,8,0,0,0,0,62,35,445,12.71,2,0,0,2,91.5
78,Olamide Zaccheaus,9,24,17,8,1,2,2,0,53,31,406,13.1,3,0,0,3,89.8
79,Kenny Golladay,29,28,14,14,0,0,0,0,76,37,521,14.08,0,0,0,0,89.1
80,Tre'Quan Smith,7,25,11,6,0,0,0,0,50,32,377,11.78,3,1,0,3,87.7
81,Allen Robinson,24,28,12,11,0,0,0,0,66,38,410,10.79,1,0,0,1,87
82,Marquez Valdes-Scantling,22,27,11,7,0,0,0,0,55,26,430,16.54,3,0,0,3,87
83,DeAndre Carter,31,28,17,6,10,89,8.9,0,44,24,296,12.33,3,3,0,4,86.5
84,Freddie Swain,11,23,17,8,5,32,6.4,0,40,25,343,13.72,4,1,0,4,86.5
85,Jerry Jeudy,15,22,10,5,2,3,1.5,0,56,38,467,12.29,0,1,0,0,85
86,Henry Ruggs III,7,22,7,7,3,16,5.33,0,36,24,469,19.54,2,0,0,2,84.5
87,Nico Collins,19,22,14,8,0,0,0,0,60,33,446,13.52,1,0,0,1,83.6
88,Devin Duvernay,23,24,16,7,7,50,7.14,0,47,33,272,8.24,2,1,0,3,83.2
89,Laquon Treadwell,26,26,12,7,0,0,0,0,51,33,434,13.15,1,0,0,1,82.4
90,Kadarius Toney,29,22,10,4,3,6,2,0,57,39,420,10.77,0,0,0,0,82.4
91,Jauan Jennings,5,24,16,1,0,0,0,0,38,24,282,11.75,5,1,0,5,82.2
92,Josh Reynolds,28,26,12,5,0,0,0,0,49,29,396,13.66,2,0,0,2,80.6
93,Julio Jones,24,32,10,10,0,0,0,0,48,31,434,14,1,0,0,1,80.4
94,Adam Humphries,31,28,17,11,0,0,0,0,62,41,383,9.34,0,0,0,0,79.3
95,Keelan Cole,17,28,15,11,0,0,0,0,51,28,449,16.04,1,0,0,1,78.9
96,Jalen Reagor,30,22,17,13,10,32,3.2,0,57,33,299,9.06,2,2,0,2,78.1
97,Sterling Shepard,29,28,7,6,1,-9,-9,0,53,36,366,10.17,1,0,0,1,77.7
98,Jamal Agnew,26,26,10,2,7,111,15.86,1,39,24,229,9.54,1,1,0,3,76
99,DeSean Jackson,1,35,16,4,1,4,4,0,34,20,454,22.7,2,1,1,2,75.8
100,T.Y. Hilton,26,32,10,9,0,0,0,0,37,23,331,14.39,3,0,0,3,74.1
101,Tyler Johnson,4,23,17,3,0,0,0,0,55,36,360,10,0,0,0,0,72
102,Calvin Ridley,9,27,5,5,0,0,0,0,52,31,281,9.06,2,0,0,2,71.1
103,Sammy Watkins,23,28,13,9,0,0,0,0,49,27,394,14.59,1,1,1,1,70.4
104,Demarcus Robinson,5,27,17,10,0,0,0,0,41,25,264,10.56,3,0,0,3,69.4
105,Danny Amendola,19,36,8,0,0,0,0,0,38,24,248,10.33,3,1,0,3,68.8
106,Darius Slayton,29,24,13,5,1,-13,-13,0,58,26,339,13.04,2,1,1,2,68.6
107,Ray-Ray McCloud,12,25,16,5,2,15,7.5,0,66,39,277,7.1,0,4,1,0,66.2
108,James Washington,12,25,15,2,2,13,6.5,0,44,24,285,11.88,2,0,0,2,65.8
109,Chester Rogers,24,27,16,2,1,9,9,0,43,30,301,10.03,1,4,1,1,65
110,Damiere Byrd,24,28,17,4,0,0,0,0,38,26,329,12.65,1,1,1,1,64.9
111,Chris Conley,19,29,16,10,1,3,3,0,37,22,323,14.68,2,1,1,2,64.6
112,Mack Hollins,21,28,17,3,0,0,0,0,28,14,223,15.93,4,0,0,4,60.3
113,Antoine Wesley,2,24,15,4,0,0,0,0,32,19,208,10.95,3,0,0,3,57.8
114,Rashard Higgins,17,27,15,4,0,0,0,0,47,24,275,11.46,1,0,0,1,57.5
115,Marquise Goodwin,24,31,14,2,2,-1,-0.5,0,40,20,313,15.65,1,1,0,1,57.2
116,Chris Moore,19,28,12,1,0,0,0,0,22,21,227,10.81,2,0,0,2,55.7
117,Isaiah McKenzie,12,26,15,2,9,47,5.22,1,26,20,178,8.9,1,2,1,2,52.5
118,Ashton Dulin,26,24,17,1,3,32,10.67,0,22,13,173,13.31,2,0,0,3,51.5
119,Tavon Austin,26,31,13,3,3,21,7,0,37,24,213,8.88,1,1,1,1,51.4
120,Lil'Jordan Humphrey,7,23,10,4,0,0,0,0,18,13,249,19.15,2,0,0,2,49.9
121,Quintez Cephus,28,23,5,3,0,0,0,0,22,15,204,13.6,2,0,0,2,49.4
122,Brandon Zylstra,12,28,13,3,0,0,0,0,25,18,250,13.89,1,0,0,1,49
123,Cam Sims,31,25,14,3,1,7,7,0,23,15,211,14.07,2,0,0,2,48.8